index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Angelic Sickle 6	50	Angelical Raiment 6	sbr	Sabre	7	17	12	lgry	lgry						5	2500	2	red-mag		1	1	gethit-skill	56	2	0	vit		15	15	block		20	20	regen		4	4	res-ltng		40	40	ac		500	500	hit-skill	48	12	4	allskills		2	2	move2		20	20	att%		100	100	ac		8	8	indestruct		1	1	ac%		200	200	regen		16	16	dmg-max		10	10	hit-skill	Life Tap	5	10	skilltab	9	1	1	oskill	49	7	7		0
Angelic Mantle 6	51	Angelical Raiment 6	rng	Ring Mail	7	17	12	lgry	lgry						5	2500	2	att%		10	10	cast1		10	10	enr		10	10	str		15	15	ac%		150	150	swing2		25	25	mag%		50	50	dmg%	0	65	65	mana		12	12	regen-mana		20	20	oskill	131	4	4	mana%		10	10	slow		30	30	ac		15	15	vit		20	20	swing2		30	30	extra-cold		30	30	manasteal	0	5	5	dex		20	20		0
Angelic Halo 6	52	Angelical Raiment 6	rin	Ring	3	17	12	lgry	lgry						5	2500	2	mana		15	15	oskill	74	4	4	dmg%		100	100	mag%		50	50	att/lvl	16			dmg-max		23	23	dmg-mag		200	200	ac		100	100					hit-skill	72	8	3	mana%		10	10	ac%		150	150	ac%		190	190	red-dmg		2	2	res-ltng		50	50	red-mag		2	2	ac		100	100	mana		15	15						0
Angelic Wings 6	53	Angelical Raiment 6	amu	Amulet	7	17	12	lgry	lgry						5	2500	2	mana		15	15	ac%		100	100	slow		50	50	ac		120	120	dmg%		120	120	move2		25	25	skilltab	17	2	2	manasteal		9	9	dmg-fire		200	200	hp		40	40	att		40	40	ease		-20	-20	swing2		20	20	ac		600	600	res-fire-max		15	15	pierce-cold		20	20	dmg%		200	200	state	fullsetgeneric	1	1	mana-kill		3	3		0
Arctic Horn 6	54	Arctic Gear 6	swb	Short War Bow	7	3	2	lgld	lgld						5	2500	2	ac		20	20	mana		15	15	swing2		80	80	abs-fire		12	12	crush		33	33	mag%		25	25	att	0	60	60	skilltab	15	1	1	dmg-max		2	2	dmg-norm		30	30	mana		30	30	thorns		25	25	dmg%		120	120	crush		25	25	ac/lvl	40			ac%		200	200	ease		-20	-20	manasteal	0	5	5	swing2		20	20		0
Arctic Furs 6	55	Arctic Gear 6	qui	Quilted Armor	7	3	2	lgld	lgld						5	2500	2	res-ltng	0	22	22	res-pois-len		75	75	lifesteal		18	18	ac		25	25	ltng-min	0	1	1	ltng-max	0	40	40	skilltab	13	2	2	cast2		10	10	ac%		100	100	ac%		200	200	skilltab	14	2	2	enr		50	50	dex		15	15	hit-skill	Venom	35	15	res-cold		30	30	att		4	4	dur		10	10	str		10	10						0
Arctic Binding 6	56	Arctic Gear 6	vbl	Light Belt	7	3	2	lgld	lgld						5	2500	2	freeze		1	1	mag%		40	40	dmg-norm		25	25	ama		2	2	ac		15	15	dmg-max		9	9	skilltab	8	2	2	manasteal		4	4	regen-mana		15	15	res-pois		25	25	ac%		190	190	vit		8	8	ac/lvl	30			aura	Redemption	15	15	crush		33	33	mana		100	100	mana		30	30	dmg-max		4	4	dmg-min		10	10		0
Arctic Mitts 6	57	Arctic Gear 6	tgl	Light Gauntlets	7	3	2	lgld	lgld						5	2500	2	swing2		20	20	noheal		1	1	cold-min		4	4	cold-max		8	8	crush		40	40	ltng-min		1	1	ltng-max		180	180	oskill	54	11	11	ac-miss		230	230	ac-miss		230	230	freeze		3	3	oskill	Revive	8	8	oskill	63	1	1	block2		30	30	str/lvl	4			swing2		20	20	lifesteal		9	9	skilltab	17	3	3	ama	0	1	1		0
Arcanna's Sign 6	58	Arcanna's Tricks 6	amu	Amulet	1	20	15	blac	blac						5	2500	2	skilltab	8	2	2	lifesteal		12	12	thorns		20	20	deadly		50	50	res-cold		33	33	swing2		20	20	att		76	76	res-fire		20	20	pal	0	2	2	fire-min		1	1	move2		15	15	fire-max		3	3	noheal		1	1	enr		3	3	ac%		180	180	allskills		2	2	skilltab	16	3	3	dmg-undead	0	68	68	red-dmg		4	4		0
Arcanna's Deathwand 6	59	Arcanna's Tricks 6	wst	War Staff	7	20	15	blac	blac						5	2500	2	hit-skill	Frost Nova	33	8	res-all		8	8	ltng-min		1	1	ltng-max		38	38	dmg-undead		50	50	ac%		130	130	lifesteal		10	10	dmg%		220	220	enr		10	10	heal-kill		14	14	dmg%		240	240	vit		10	10	ac%		190	190	dmg-min		4	4	stam		40	40	enr		15	15	hp		100	100	move2		20	20	att		117	117		0
Arcanna's Head 6	60	Arcanna's Tricks 6	skp	Skull Cap	7	20	15	blac	blac						5	2500	2	light		-2	-2	oskill	101	20	20	ac%		120	120	att%		100	100	swing2		20	20	dex		25	25	extra-pois		5	5	skilltab	15	3	3	cast1		10	10	cast3		20	20	light		3	3	dmg-norm		50	50	swing2		20	20	abs-mag		15	15	dmg-ltng		250	250	thorns		20	20	openwounds		33	33	att	0	80	80	res-all		15	15		0
Arcanna's Flesh 6	61	Arcanna's Tricks 6	ltp	Light Plate	7	20	15	blac	blac						5	2500	2	ease		-30	-30	att		35	35	mag%		1	1	res-all		15	15	dmg%		20	20	allskills		2	2	fire-min		4	4	fire-max		6	6	res-cold		15	15	att		250	250	swing3		30	30	abs-cold%		25	25	oskill	Shape Shifting	6	6	res-fire	0	30	30	ac%		170	170	ac%		40	40	hp	0	24	24	freeze	0	1	1	stamdrain		15	15		0
Expansion																																																																																															
Natalya's Totem 6	62	Natalya's Odium 6	xh9	Grim Helm	7	22	59	dgry	dgry						5	5000		light-thorns		25	25	vit		15	15	res-all		70	70	dmg		85	85	str		20	20	manasteal		5	5	res-ltng		20	20	red-dmg%		8	8	balance1		5	5	red-mag		1	1	res-cold		20	20	light-thorns		15	15	regen		20	20	swing2		30	30	ac%		170	170	dmg-demon		350	350	balance2		10	10	allskills		2	2	ac/lvl	16				0
Natalya's Mark 6	63	Natalya's Odium 6	7qr	Scissors Suwayyah	7	22	79	dgry	dgry						5	5000		att-skill	39	5	3	skilltab	10	1	1	dmg-norm		20	20	dmg-to-mana		38	38	openwounds		40	40	res-fire		45	45	cold-min		23	23	cold-max		90	90	dmg%		50	50	dmg%		100	100	thorns		47	47	swing2		15	15	dmg-mag		180	180	move2		30	30	dmg-pois	75	36	36	oskill	Summon Spirit Wolf	18	18	swing2		20	20	ac		3	3	res-all	0	10	10		0
Natalya's Shadow 6	64	Natalya's Odium 6	ucl	Loricated Mail	7	22	73	dgry	dgry						5	5000		red-dmg		5	5	res-all		15	15	dmg-min		2	2	fire-min		18	18	fire-max		36	36	dmg-norm		30	30	openwounds		25	25	sor		1	1	oskill	37	3	3	deadly		50	50	nec		2	2	manasteal		7	7	skilltab	2	4	4	ethereal		1	1	dmg%		50	50	skilltab	15	2	2	mana		17	17	swing2		20	20	dex		6	6		0
Natalya's Soul 6	65	Natalya's Odium 6	xmb	Mesh Boots	7	22	25	dgry	dgry						5	5000		ltng-min	0	1	1	ltng-max	0	8	8	ease		-60	-60	oskill	72	8	8	ac%		60	60	dmg-ltng		511	511	res-ltng		25	25	dmg-max		10	10	dmg%		60	60	dmg%		60	60	red-dmg		3	3	hp		20	20	regen-mana		20	20	dmg-norm		50	50	nec		1	1	res-cold	0	30	30	dex		12	12	res-fire		20	20	gold%		30	30		0
Aldur's Stony Gaze 6	66	Aldur's Watchtower 6	dr8	Hunter's Guise	7	29	36	oran	oran						5	5000	2	ac-miss		100	100	att-demon		300	300	pierce-cold		5	5	levelup-skill	Blaze	100	40	stam		150	150	ac		5	5	mana		2	2	str		9	9	dmg-fire		20	20	light-thorns		27	27	ignore-ac		1	1	manasteal		8	8	skilltab	16	2	2	dmg-cold		44	44	res-all		30	30	hit-skill	44	10	3	nofreeze		1	1	enr		15	15	dmg%		40	40		0
Aldur's Deception 6	67	Aldur's Watchtower 6	uul	Shadow Plate	7	29	76	oran	oran						5	5000	2	att		50	50	swing1		10	10	light		-2	-2	manasteal		15	15	ac		3	3	dmg-demon		300	300	gethit-skill	38	12	4	oskill	38	6	6	dmg-max		1	1	dmg-max		30	30	regen		20	20	res-ltng		15	15	abs-ltng		14	14	allskills		1	1	res-fire		28	28	ac%		100	100	res-ltng	0	30	30	swing2		40	40	str		1	1		0
Aldur's Gauntlet 6	68	Aldur's Watchtower 6	9mt	Jagged Star	7	29	42	oran	oran						5	5000	2	att		35	35	att-skill	47	10	6	mana%		15	15	deadly/lvl	3			dmg%		210	210	mag%		50	50	res-all		35	35	ac%		80	80	res-fire		15	15	allskills		1	1	att		50	50	hp		20	20	dmg%		50	50	dmg-to-mana		10	10	res-all		10	10	fire-min		8	8	hit-skill	Taunt	10	1	fire-max		12	12	red-mag		3	3		0
Aldur's Advance 6	69	Aldur's Watchtower 6	xtb	Battle Boots	7	29	45	oran	oran						5	5000	2	swing2		20	20	res-all		10	10	openwounds		25	25	red-mag		15	15	att		250	250	hit-skill	Firestorm	12	16	regen	0	4	4	skilltab	10	2	2	res-pois	0	15	15	res-cold		26	26	str		8	8	all-stats		30	30	dmg-max		30	30	hit-skill	101	10	3	ac/lvl	16			ac%		200	200	skilltab	10	3	3	dmg-max		7	7	dex		6	6		0
Immortal King's Will 6	70	Immortal King 6	ba5	Avenger Guard	7	37	47	lgry	lgry						5	5000		ac		12	12	res-cold		35	35	light		3	3	dmg%		260	260	heal-kill		10	10	att		110	110	ease		-20	-20	res-all		20	20	allskills		1	1	skilltab	17	3	3	balance2		20	20	dmg%		50	50	str		2	2	att	0	20	20	ac-miss		250	250	fire-min		3	3	light-thorns		10	10	fire-max		6	6						0
Immortal King's Soul Cage 6	71	Immortal King 6	uar	Sacred Armor	7	37	76	lgry	lgry						5	5000	2	light		2	2	res-pois		20	20	dmg-ltng		212	212	dmg-pois	100	102	102	hit-skill	Twister	8	13	oskill	Hydra	30	30	ac		75	75	regen-stam		25	25	res-all		7	7	cast2		20	20	gethit-skill	59	5	0	cold-min		4	4	rip		1	1	cold-max		8	8	regen-mana		15	15	cold-len		75	75	pierce-cold		5	5	skilltab	5	3	3	dmg%		200	200		0
Immortal King's Detail 6	72	Immortal King 6	zhb	War Belt	7	37	29	lgry	lgry						5	5000	2	dmg-pois	250	500	500	ac%		190	190	move2		25	25	ac		420	420	cheap		15	15	att		150	150	mana		12	12	mag%		19	19	gold%		22	22	ac%		160	160	regen		8	8	ac-miss		250	250	oskill	52	10	10	mag%		25	25	swing2		40	40	res-ltng		25	25	skilltab	16	1	1	mana%		20	20	regen-mana		15	15		0
Immortal King's Forge 6	73	Immortal King 6	xhg	War Gauntlets	7	37	30	lgry	lgry						5	5000	2	ignore-ac	1	1	1	kill-skill	Poison Nova	50	20	dmg%		33	33	dmg-fire		17	17	dmg-max		9	9	dmg-demon		40	40	skilltab	20	1	1	red-mag		3	3	dmg-pois	75	21	21	dex		20	20	hp		10	10	dmg-cold/lvl	12			ac%		130	130	sor		1	1	dmg-norm		100	100	ltng-min		1	1	extra-ltng		5	5	ltng-max		26	26	res-all		10	10		0
Immortal King's Pillar 6	74	Immortal King 6	xhb	War Boots	7	37	31	lgry	lgry						5	5000	2	dmg/lvl	25			enr		20	20	ac		350	350	res-ltng		-70	-70	dmg%		290	290	ac%		325	325	ac/lvl	24			gethit-skill	53	12	5	res-all		50	50	swing2		20	20	ease		20	20	dmg%		90	90	dex		10	10	res-pois		50	50	dmg-norm		25	25	enr		2	2	lifesteal		9	9	mana		20	20	ama	0	2	2		0
Immortal King's Stone Crusher 6	75	Immortal King 6	7m7	Ogre Maul	7	37	76	lgry	lgry						5	5000	2	hp		20	20	res-all		10	10	red-dmg		2	2	dmg-norm		50	50	dmg-fire		500	500	oskill	147	5	5	gethit-skill	Cyclone Armor	5	15	skilltab	20	3	3	regen		10	10	swing2		40	40	noheal		1	1	regen		20	20	hp		20	20	pierce-fire		15	15	fire-min		7	7	str	0	8	8	fire-max		19	19	dmg-max		6	6	ac%		30	30		0
Tal Rasha's Fire-Spun Cloth 6	76	Tal Rasha's Wrappings 6	zmb	Mesh Belt	7	26	53	dpur	dpur						5	5000	2	lifesteal		4	4	dex		10	10	manasteal		3	3	light-thorns		7	7	regen		25	25	stam		40	40	block2		20	20	dmg-cold	100	50	50	cast3		20	20	lifesteal		15	15	block2		30	30	ac		50	50	mana-kill		5	5	dmg%	0	65	65	all-stats		10	10	skilltab	1	1	1	extra-ltng		15	15	crush	0	35	35	str		10	10		0
Tal Rasha's Adjudication 6	77	Tal Rasha's Wrappings 6	amu	Amulet	1	26	67	dpur	dpur						5	5000	2	light		5	5	dmg-demon		200	200	openwounds		25	25	vit		12	12	dmg%		280	280	balance2		30	30	oskill	Slow Missiles	12	12	red-mag		7	7	regen		5	5	light		2	2	nofreeze		1	1	res-pois	0	12	12	dmg-norm		50	50	res-all	0	15	15	ease		-60	-60	dmg-min		9	9	pierce-ltng		15	15	hp		15	15	gethit-skill	38	12	4		0
Tal Rasha's Lidless Eye 6	78	Tal Rasha's Wrappings 6	oba	Swirling Crystal	7	26	65	dpur	dpur						5	5000	2	light-thorns		20	20	oskill	Blizzard	16	16	res-all		70	70	stam		150	150	ease		-50	-50	sock		2	2	bar		2	2	dex		15	15	lifesteal		8	8	indestruct		1	1	oskill	278	3	3	ac%		150	150	res-ltng		35	35	ltng-min		1	1	mana		20	20	ltng-max		8	8	red-mag		2	2	dmg/lvl	6			swing1		15	15		0
Tal Rasha's Howling Wind 6	79	Tal Rasha's Wrappings 6	uth	Lacquered Plate	7	26	71	dpur	dpur						5	5000	2	oskill	66	3	3	move2		10	10	dmg%		150	150	manasteal		7	7	swing2		10	10	str/lvl	6			ac		6	6	hp		5	5	red-dmg		2	2	gethit-skill	93	5	10	gold%		80	80	crush		50	50	att		12	12	regen-mana		17	17	mag%		40	40	res-fire		15	15	ac%		220	220	dmg-max		2	2						0
Tal Rasha's Horadric Crest 6	80	Tal Rasha's Wrappings 6	xsk	Death Mask	7	26	66	dpur	dpur						5	5000		block2		30	30	gethit-skill	76	10	2	dmg%		10	10	res-cold		40	40	ac/lvl	16			dmg-to-mana		10	10	mana	0	24	24	att		42	42	enr		30	30	freeze		2	2	regen-stam		10	10	ac%		150	150	crush		25	25	dmg-undead		280	280	ltng-min	0	1	1	oskill	Oak Sage	4	4	ltng-max	0	40	40	res-all		25	25	att%		100	100		0
Griswold's Valor 6	81	Griswold's Legacy 6	urn	Corona	7	44	69	dgld	dgld						5	5000	2	cold-min		1	1	cold-max		2	2	cold-len		50	50	light		1	1	att		50	50	oskill	93	3	3	ac%		40	40	dmg%		160	160	hp		50	50	swing2		20	20	oskill	66	8	8	gold%		200	200	res-pois		75	75	dmg%		150	150	manasteal		6	6	allskills		1	1	red-dmg%		8	8	str		15	15	hp		10	10		0
Griswold's Heart 6	82	Griswold's Legacy 6	xar	Ornate Plate	7	44	45	dgld	dgld						5	5000		att		150	150	dmg-fire		150	150	lifesteal		5	5	dmg%		200	200	reduce-ac		25	25	mag%	0	16	16	res-fire		15	15	str		9	9	gethit-skill	38	10	3	block2		20	20	ac		10	10	dmg%/lvl	16			demon-heal		10	10	red-mag		2	2	res-all		70	70	swing2		20	20	dmg-pois	100	39	39	thorns	0	12	12						0
Griswolds's Redemption 6	83	Griswold's Legacy 6	7ws	Caduceus	7	44	53	dgld	dgld						5	5000	2	res-pois		20	20	att%		10	10	gethit-skill	44	10	5	manasteal		5	5	light		3	3	dmg-demon		350	350	res-fire		30	30	str		4	4	ac-miss		50	50	ac/lvl	24			res-ltng		33	33	dmg-ltng/lvl	16			att%		20	20	dmg-ltng		15	15	dmg%		65	65	thorns	0	12	12	res-pois		30	30	hp		50	50	res-all	0	10	10		0
Griswold's Honor 6	84	Griswold's Legacy 6	paf	Vortex Shield	7	44	68	dgld	dgld						5	5000		dmg%		190	190	slow		75	75	mana		35	35	move2		30	30	stam		20	20	res-all		20	20	att%		20	20	ac%		50	50	crush		50	50	fire-min		4	4	hp		25	25	fire-max		8	8	dmg-cold	75	21	21	cast2		20	20	ac/lvl	12			dmg%		150	150	att		40	40	res-ltng		5	5	red-mag		4	4		0
Trang-Oul's Guise 6	85	Trang-Oul's Avatar 6	uh9	Bone Visage	7	32	65	dgld	dgld						5	5000		gold%		80	80	hp%		25	25	balance2		20	20	skilltab	9	4	4	dmg%		80	80	res-pois		25	25	att	0	100	100	mag%		1	1	res-ltng		30	30	dmg-undead		60	60	dmg-fire		180	180	dmg%		100	100	hit-skill	Life Tap	10	18	skilltab	16	5	5	skilltab	8	2	2	res-cold-max		5	5	att	0	100	100	att		48	48	regen		20	20		0
Trang-Oul's Scales 6	86	Trang-Oul's Avatar 6	xul	Chaos Armor	7	32	49	dyel	dyel						5	5000	2	dmg-norm		45	45	str		50	50	openwounds		25	25	slow		10	10	pierce-cold		5	5	dmg-cold		220	220	att		75	75	res-all		30	30	enr		20	20	hp		20	20	ac%		40	40	block		20	20	hit-skill	Lightning	10	16	dex		10	10	addxp		10	10	res-fire	0	30	30	res-all		5	5	oskill	84	6	6	nofreeze		1	1		0
Trang-Oul's Wing 6	87	Trang-Oul's Avatar 6	ne9	Cantor Trophy	7	32	54	dyel	dyel						5	5000	2	lifesteal		6	6	ease		-50	-50	dmg%		40	40	hit-skill	92	5	8	gethit-skill	62	3	6	dmg-mag		240	240	swing2		45	45	res-fire		45	45	cast1		10	10	dmg%		100	100	dmg-undead		125	125	swing2		50	50	allskills		1	1	balance2		30	30	hp		20	20	res-cold		5	5	swing3		30	30	dex		2	2						0
Trang-Oul's Claws 6	88	Trang-Oul's Avatar 6	xmg	Heavy Bracers	7	32	45	dyel	dyel						5	5000		red-mag		20	20	dmg%		250	250	oskill	Holy Bolt	4	4	openwounds		33	33	hit-skill	Life Tap	15	5	red-dmg		3	3	str		9	9	mag%	0	40	40	regen-mana		8	8	abs-fire%		15	15	dmg%		100	100	abs-ltng		7	7	hp		10	10	oskill	Feral Rage	6	6	swing3		30	30	dmg-min		13	13	manasteal	0	2	2	hp		5	5	dmg-min		1	1		0
Trang-Oul's Girth 6	89	Trang-Oul's Avatar 6	utc	Troll Belt	7	32	47	dyel	dyel						5	5000	2	ac%		260	260	res-fire		35	35	dmg-und/lvl	20			light		1	1	extra-cold		15	15	openwounds		50	50	swing2		30	30	ltng-min		1	1	ltng-max		21	21	pierce-ltng		15	15	dmg-fire		33	33	extra-fire		15	15	light		4	4	dmg-cold	3	38	38	cast3		35	35	dmg%		100	100	stam		8	8	red-dmg		25	25	dex		1	1		0
M'avina's True Sight 6	90	M'avina's Battle Hymn 6	ci3	Diadem	7	21	59	whit	whit						5	5000	2	stamdrain		20	20	dmg-cold	75	30	30	light		2	2	dmg%		330	330	swing2		25	25	res-cold		40	40	ac		15	15	mana-kill		5	5	gold%	0	75	75	lifesteal		8	8	att-und/lvl	20			nofreeze		1	1	mana		175	175	openwounds		50	50	hit-skill	42	20	10	str		25	25	ac%		70	70	dmg-demon		25	25	oskill	43	5	5		0
M'avina's Embrace 6	91	M'avina's Battle Hymn 6	uld	Kraken Shell	7	21	70	whit	whit						5	5000	2	manasteal		5	5	ac%		30	30	light		4	4	res-cold		40	40	regen-stam/lvl	2			skilltab	9	2	2	thorns	0	8	8	openwounds		25	25	dmg-undead		200	200	ac%		100	100	lifesteal		12	12	half-freeze		1	1	ac		50	50	cold-min	0	1	1	dmg-undead		275	275	cold-max	0	3	3	att%	0	35	35	cold-len	0	25	25	move3		30	30		0
M'avina's Icy Clutch 6	92	M'avina's Battle Hymn 6	xtg	Battle Gauntlets	7	21	32	whit	whit						5	5000	2	ass		2	2	res-fire		40	40	ac		550	550	aura	Defiance	16	16	allskills		2	2	ac%		50	50	swing2		30	30	mana		50	50	hp		100	100	dmg-undead		50	50	stupidity		1	1	ac%		20	20	oskill	69	3	3	oskill	Oak Sage	2	2	openwounds		50	50	att/lvl	20			half-freeze		1	1	res-pois	0	28	28	att		300	300		0
M'avina's Tenet 6	93	M'avina's Battle Hymn 6	zvb	Sharkskin Belt	7	21	45	whit	whit						5	5000	2	res-all		30	30	skilltab	2	2	2	dex		20	20	dmg-elem		200	200	ltng-min		1	1	ltng-max		5	5	allskills		4	4	balance2		25	25	hp		30	30	slow		50	50	cold-min		2	2	ac%		60	60	cold-max		4	4	swing2		40	40	cold-len		25	25	dmg%		320	320	mana		50	50	mana	0	20	20	hp		80	80		0
M'avina's Caster 6	94	M'avina's Battle Hymn 6	amc	Grand Matron Bow	7	21	70	whit	whit						5	5000	2	dmg-min		1	1	block		10	10	dmg-to-mana		20	20	ama		2	2	deadly		50	50	swing2		40	40	att%		25	25	light		5	5	dmg%		350	350	dmg-demon		200	200	dex		10	10	stam		50	50	ac%		160	160	pierce-ltng		15	15	dru		2	2	extra-fire		15	15	balance3		25	25	mag%		5	5	enr		30	30		0
Telling of Beads 6	95	The Disciple 6	amu	Amulet	1	39	30	lblu	lblu						5	5000		dex	0	15	15	dmg-fire		371	371	ltng-min		1	1	ltng-max		260	260	stam		40	40	skilltab	9	3	3	bar		1	1	dmg%		200	200	dmg-min		9	9	lifesteal		15	15	swing3		30	30	deadly		33	33	gethit-skill	Fade	5	8	ac%		40	40	extra-cold		30	30	manasteal		5	5	oskill	72	8	8	red-mag	0	3	3	lifesteal		5	5		0
Laying of Hands 6	96	The Disciple 6	ulg	Bramble Mitts	7	39	63	lblu	lblu						5	5000		pierce-cold		15	15	ease		-50	-50	dmg-fire		482	482	ac		10	10	res-ltng		20	20	nec		1	1	thorns		9	9	dex		2	2	regen-mana		16	16	ac/lvl	10			allskills		1	1	swing2		50	50	str	0	10	10	red-mag		8	8	dmg-max		15	15	light		4	4	light		3	3	dmg-fire/lvl	24								0
Rite of Passage 6	97	The Disciple 6	xlb	Demonhide Boots	7	39	29	lblu	lblu						5	5000		res-pois	0	30	30	regen-mana		10	10	ac		75	75	ac%		170	170	dex		15	15	swing3		30	30	cold-min		2	2	cold-max		4	4	cold-len		25	25	block		30	30	death-skill	Blizzard	100	37	balance2		20	20	ac		20	20	res-fire		33	33	ltng-min		1	1	regen-mana	0	8	8	ltng-max		8	8	res-ltng		25	25	ac%		200	200		0
Spiritual Custodian 6	98	The Disciple 6	uui	Dusk Shroud	7	39	43	lblu	lblu						5	5000		light		4	4	sock	3			manasteal		15	15	dmg%		240	240	hit-skill	Frost Nova	25	22	att	0	100	100	regen	0	5	5	res-all		7	7	skilltab	1	3	3	hit-skill	Bone Spear	50	16	deadly		30	30	deadly		33	33	ac%		160	160	red-dmg		2	2	hp		25	25	balance2		25	25	res-fire		-70	-70	move2		20	20	aura	Fanaticism	9	9		0
Credendum 6	99	The Disciple 6	umc	Mithril Coil	7	39	65	lblu	lblu						5	5000		dmg-min		1	1	ac		-8	-8	hit-skill	92	5	8	att-und/lvl	10			ignore-ac		1	1	res-ltng		30	30	skilltab	12	3	3	mag%		35	35	oskill	44	8	8	dmg-pois	75	102	102	res-pois		25	25	regen		10	10	regen-stam		15	15	balance2		30	30	dmg%		240	240	res-fire		-30	-30	pierce-pois		23	23	dmg%	0	65	65	att-skill	36	10	4		0
Dangoon's Teaching 6	100	Heaven's Brethren 6	7ma	Reinforced Mace	7	55	68								5	5000		dmg-max		20	20	att%		35	35	thorns		26	26	dmg%		210	210	pierce-cold		20	20	gethit-skill	53	18	5	cast3		30	30	ac		25	25	oskill	38	10	10	gold%/lvl	20			extra-ltng		15	15	move2		25	25	fire-min		9	9	vit		15	15	fire-max		19	19	oskill	Whirlwind	1	1	regen-mana		15	15	skilltab	9	3	3	swing2		35	35		0
Heaven's Taebaek 6	101	Heaven's Brethren 6	uts	Ward	7	55	81								5	5000		dex		20	20	ignore-ac		1	1	aura	Thorns	21	21	res-all		15	15	fireskill		3	3	res-pois		12	12	light		5	5	oskill	144	6	6	regen		2	2	dmg-und/lvl	16			ac%		220	220	sock		2	2	dmg-mag		120	120	extra-ltng		15	15	mana%		10	10	res-all		30	30	ignore-ac		1	1	ac		75	75	gethit-skill	38	14	5		0
Haemosu's Adament 6	102	Heaven's Brethren 6	xrs	Cuirass	7	55	44								5	5000		red-dmg		2	2	swing2		20	20	gethit-skill	44	5	9	allskills		1	1	cast2		25	25	aura	Holy Shock	15	15	res-all		15	15	dex		20	20	dmg-max		5	5	ltng-min		1	1	hp		20	20	ltng-max		71	71	ac		600	600	res-pois	0	50	50	dmg		400	400	move2		20	20	oskill	Zeal	1	1	hit-skill	56	5	6	mana	0	24	24		0
Ondal's Almighty 6	103	Heaven's Brethren 6	uhm	Spired Helm	7	55	69								5	5000		oskill	44	3	3	ac		30	30	dmg-und/lvl	20			dmg-pois	100	153	153	heal-kill		13	13	dmg%		160	160	mag%		25	25	att		40	40	skilltab	4	3	3	att%		80	80	dex		15	15	res-fire		20	20	oskill	Hydra	30	30	res-ltng	0	28	28	ac	0	8	8	dex		10	10	hp		5	5					regen		2	2		0
Guillaume's Face 6	104	Orphan's Call 6	xhm	Winged Helm	7	41	34	lgry	lgry						5	5000		enr		20	20	vit/lvl	4			noheal		1	1	att%		10	10	ac		40	40	res-fire		30	30	res-pois		35	35	att		117	117	dex		3	3	res-all		10	10	att		55	55	dmg-ltng		237	237	oskill	248	1	1	move3		40	40	gethit-skill	88	10	2	balance1		10	10	light-thorns		25	25	hp		40	40	ac		15	15		0
Wilhelm's Pride 6	105	Orphan's Call 6	ztb	Battle Belt	7	41	42	lgry	lgry						5	5000		str		2	2	dmg-ltng		501	501	crush		25	25	res-fire		24	24	res-pois-len		75	75	balance2		25	25	oskill	139	4	4	att%	0	25	25	ac		150	150	dmg%		120	120	manasteal		2	2	balance2		30	30	swing2		10	10	thorns		14	14	move2		30	30	res-fire		15	15	dmg%		190	190	cast1	0	10	10	res-cold		7	7		0
Magnus' Skin 6	106	Orphan's Call 6	xvg	Sharkskin Gloves	7	41	37	lgry	lgry						5	5000		dex		10	10	half-freeze		1	1	gethit-skill	72	4	5	manasteal		8	8	pierce-immunity-damage		300	300	ac		15	15	hit-skill	101	10	3	skilltab	19	1	1	res-pois		20	20	dmg-ltng		60	60	skilltab	3	2	2	pierce-cold		5	5	light-thorns		27	27	att%		50	50	stamdrain		50	50	ltng-min		1	1	dmg%		200	200	ltng-max		44	44						0
Wihtstan's Guard 6	107	Orphan's Call 6	xml	Round Shield	7	41	29	lgry	lgry						5	5000		cast1		10	10	lifesteal		8	8	mana/lvl	12			manasteal		7	7	block2		30	30	hit-skill	Eruption	25	14	rip		1	1	red-dmg		2	2	mana		25	25	hit-skill	Taunt	10	1	res-all		40	40	ltng-min	0	1	1	ac%		220	220	ltng-max	0	40	40	balance2		25	25	dmg-max		3	3	att		57	57	red-dmg		15	15	dru		2	2		0
