index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Magewrath	194	100	1			1		51	43	8sw	Rune Bow		5	5000	oran			invswbu				cast2		30	30	noheal		1	1	allskills		1	1	ac%		190	220	oskill	Feral Rage	3	6	levelup-skill	Blaze	100	29	swing2		40	40	dmg-min		10	10	skilltab	1	2	2	ac		15	15	dmg-max		1	5	light		5	5		0
Godstrike Arch	195	100	1			1		54	46	8lw	Gothic Bow		5	5000	lgry	lgry						att		50	50	ac%		120	150	block		30	30	manasteal		10	15	ac		50	120	allskills		2	2	dex		6	6	ac/lvl	16			str		25	25	skilltab	13	2	2	oskill	45	8	8	res-all		50	50		0
Langer Briser	196	100	1			1		40	32	8lx	Arbalest		5	5000				inv8lxu				sock		1	3	light		-3	-3	dmg-cold	150	10	30	pois-min	0	34	34	pois-max	0	34	34	pois-len	0	75	75	dmg-norm		15	45	dmg%		210	340	rip		1	1	swing3		30	30	hp		5	10						0
Pus Spiter	197	100	1			1		44	36	8mx	Siege Crossbow		5	5000	cgrn	cgrn		inv8mxu				swing3		30	30	nec		1	1	oskill	142	4	4	ease		-100	-100	balance2		20	20	hit-skill	Firestorm	40	22	hp/lvl	8			skilltab	19	2	2	res-cold		40	40	red-mag	0	1	1	res-all		8	12	mana		100	100		0
Buriza-Do Kyanon	198	100	1			1		59	41	8hx	Balista		5	5000				invhxbu				oskill	121	1	1	explosivearrow		3	3	ac-miss		50	50	ac%		150	150	mana%		15	15	gethit-skill	Blaze	5	15	hit-skill	Decrepify	20	15	cast2		20	20	skilltab	12	2	2	mana	0	24	24	att	0	41	60	hp		21	30		0
Demon Machine	199	100	1			1		57	49	8rx	Chu-Ko-Nu		5	5000	blac	blac		invrxbu				thorns		47	47	res-all		10	10	cast3		25	35	oskill	233	1	1	ltng-min		1	1	ltng-max		12	24	openwounds		25	25	hp%		5	5	hp		16	20	str		1	2	nofreeze		1	1	red-dmg		2	2		0
Armor																																																																							0
Peasent Crown	201	100	1			1		36	28	xap	War Hat		3	5000	lgry							ac/lvl	24			fire-min		23	23	fire-max		54	54	hp		50	50	dmg-to-mana		45	45	skilltab	20	1	1	res-ltng		21	25	mana		30	30	res-all		100	100	dmg-ltng		1	40	dmg%		50	60	move2		20	20		0
Rockstopper	202	100	1			1		39	31	xkp	Sallet		3	5000				invxkpu				str/lvl	3			oskill	59	2	2	crush		20	20	res-cold		15	15	dmg-undead	0	200	200	att		15	15	dmg/lvl	20			dmg-pois	100	460	460	red-mag		2	2	str		8	8	res-all		30	50						0
Stealskull	203	100	1			1		43	35	xlm	Casque		3	5000				invhlmu				dur		10	15	res-fire		50	50	slow		30	30	dmg-cold	100	6	22	att		150	150	mana-kill		3	5	mana		13	13	dmg%		10	10	res-cold		11	12	res-pois		26	30	dmg-pois	75	35	35	move2		5	5		0
Darksight Helm	204	100	1			1		46	38	xhl	Basinet		3	5000	blac	blac		invfhlu				att		30	30	ac		200	200	regen		5	5	ac%		150	190	indestruct		1	1	hit-skill	Tornado	20	18	cast3		25	25	dex		6	6	mana-kill		2	2	res-pois	0	31	50	dmg-ac		-10	-20	mana		50	50		0
Valkiry Wing	205	100	1			1		52	44	xhm	Winged Helm		3	5000	lgld							all-stats		5	10	sock		3	5	att%		40	75	ac		100	150	lifesteal		7	10	att		200	200	oskill	92	11	13	nofreeze		1	1	sor		1	1	mana		8	13	cast1		10	10	hp		36	40		0
Crown of Thieves	206	100	1			1		57	49	xrn	Grand Crown		3	5000	dgld	dgld		invxrnu				light		2	2	swing2		15	15	dmg%/lvl	20			stam		50	50	lifesteal		9	15	vit		10	15	oskill	Iron Maiden	20	12	ac%		60	100	dmg-undead		200	200	res-ltng		30	30	manasteal		8	8	att		121	150		0
Blackhorn's Face	207	100	1			1		49	41	xsk	Death Mask		3	5000	blac	blac						bloody		3	5	ac%		80	100	manasteal		4	7	red-mag		7	11	dmg-mag		108	108	aura	Holy Freeze	12	12	mana-kill		2	2	ac		200	300	res-fire		40	40	red-dmg		7	7	mana	0	21	30	att		15	15		0
Vampiregaze	208	100	1			1		49	41	xh9	Grim Helm		3	5000	cgrn	cgrn		invbhmu				stupidity		1	1	res-cold		26	26	dur		15	20	oskill	19	5	5	att%		20	20	mana-kill		7	12	vit		24	24	openwounds		50	50	move2		20	20	mana	0	38	38	dmg-min		9	9	dmg%	0	81	100		0
The Spirit Shroud	209	100	1			1		36	28	xui	Ghost Armor		3	5000								att		50	75	enr		10	10	ama		2	2	ac%		20	20	ethereal		1	1	swing2		20	20	regen	0	2	2	att-undead		50	50	res-ltng	0	11	20	mag%		5	7	dmg-min		1	1	hp		36	40		0
Skin of the Vipermagi	210	100	1			1		37	29	xea	SerpentSkin Armor		3	5000	dblu	dblu						red-dmg		3	3	mag%		30	30	cast2		50	50	oskill	244	3	3	res-pois-len		75	75	red-dmg%		30	30	dmg%	0	81	100	hp		21	25	bar		1	1	fire-min		8	8	fire-max		12	12	deadly		25	25		0
Skin of the Flayerd One	211	100	1			1		39	31	xla	Demonhide Armor		3	5000	lred	lred						dmg-min		1	1	dur		50	50	light		4	4	abs-cold/lvl	5			res-cold		60	60	att		400	450	regen		30	30	cast3		20	20	thorns	0	12	12	skilltab	1	1	1	hp		1	5	dmg-cold	25	1	1		0
Ironpelt	212	100	1			1		41	33	xtu	Tresllised Armor		3	5000	dgry	dgry		invxtuu				dmg%		80	120	str		5	5	att		200	250	block2		30	30	oskill	Bone Spear	2	3	hit-skill	Quickness	5	1	vit		15	15	block		55	55	dmg-demon		318	318	dmg/lvl	6			att-undead		175	250	move2		20	20		0
Spiritforge	213	100	1			1		43	35	xng	Linked Mail		3	5000								mana-kill		6	6	ac-miss		50	50	balance2		50	50	res-all		50	70	oskill	Plague Poppy	15	21	enr		15	15	light		5	5	gold%		50	50	red-dmg		1	1	str		6	9	lifesteal		10	10	dex		30	30		0
Crow Caw	214	100	1			1		45	37	xcl	Tigulated Mail		3	5000								res-cold		30	30	dmg-pois	100	460	460	block		10	10	att		200	250	vit		10	10	ac%		180	240	oskill	34	3	3	block2		25	25	crush		25	25	res-fire		25	25	res-all		25	25	dmg-max		5	7		0
Shaftstop	215	100	1			1		46	38	xhn	Mesh Armor		3	5000	dgry							mana-kill		2	4	dur		40	40	abs-fire		10	12	ac		300	350	dmg-fire		17	45	fire-max		10	10	dex		20	20	res-ltng	0	28	28	res-all		16	20	dmg-demon		151	200	hp		6	10	hit-skill	48	12	4		0
Duriel's Shell	216	100	1			1		49	41	xrs	Cuirass		3	5000	oran	oran						res-pois-len		50	50	thorns	0	20	20	ac		13	18	openwounds		80	80	res-ltng		-90	-70	slow		50	50	oskill	91	1	1	dmg%		66	80	skilltab	15	2	2	res-cold		20	20	ltng-min		1	1	ltng-max		21	60		0
Skullder's Ire	217	100	1			1		50	42	xpl	Russet Armor		3	5000								res-ltng		40	40	hp		26	26	ac%		30	40	nec		1	1	manasteal		8	8	mana%		15	15	red-mag		10	10	block2		30	30	dmg-undead		280	300	gold%		50	50	ac		25	25	dmg-pois	100	39	39		0
Guardian Angel	218	100	1			1		53	45	xlt	Templar Coat		3	5000	lgry	lgry						res-cold-max		5	5	dex	0	6	6	mana		35	35	dmg-min		5	5	hit-skill	Bone Spear	15	10	slow		20	20	dmg-max		4	5	att	0	40	40	move2		20	20	regen		10	10	block2		20	20						0
Toothrow	219	100	1			1		56	48	xld	Sharktooth Armor		3	5000	whit	whit						hp		50	50	mana		15	15	aura	Sanctuary	10	13	thorns/lvl	11			reduce-ac		33	33	death-skill	Chain Lightning	100	44	ac		15	15	res-cold		18	18	res-ltng	0	21	30	att		6	12	dex		4	6	dmg-max		11	15		0
Atma's Wail	220	100	1			1		59	51	xth	Embossed Plate		3	5000								res-all-max		5	5	thorns		15	15	res-all		15	15	aura	Holy Freeze	18	18	att		150	150	ac%		60	100	hp		15	15	ac		125	125	res-ltng		21	25	str		4	6	oskill	96	6	6	red-dmg	0	7	7		0
Black Hades	221	100	1			1		61	53	xul	Chaos Armor		3	5000								crush		25	25	att		50	75	oskill	248	1	1	res-ltng-max		10	10	dmg%		150	250	ac%		150	180	extra-ltng		10	15	cast2		10	10	hp		100	150	res-cold		8	9	skilltab	19	2	2	gethit-skill	48	10	3		0
Corpsemourn	222	100	1			1		63	55	xar	Ornate Armor		3	5000	blac	blac		invxaru				lifesteal		5	5	swing2		30	30	move2		30	30	indestruct		1	1	ac%		50	50	noheal		1	1	res-fire		10	30	ac/lvl	16			res-all		15	15	dex	0	4	4	att-undead		175	250	dmg-min		15	20		0
Que-Hegan's Wisdon	223	100	1			1		59	51	xtp	Mage Plate		3	5000								cold-min		2	4	cold-max		4	8	dmg-to-mana		10	10	dmg%	0	21	30	ass		2	2	dmg-undead		125	125	str		11	15	hit-skill	Hydra	12	15	mag%		5	10	oskill	73	8	8	stupidity		33	33						0
Visceratuant	224	100	1			1		36	28	xuc	Defender		3	5000	dred			invbucu				hp		40	40	dmg%		150	250	str		20	20	ac/lvl	20			swing2		25	25	half-freeze		1	1	gethit-skill	42	10	3	att	0	81	100	mana		19	23	dmg-max		3	4	regen		3	5	enr		7	10		0
Mosers Blessed Circle	225	100	1			1		39	31	xml	Round Shield		3	5000				invxmlu				att	0	61	80	fire-min		81	120	fire-max		131	180	openwounds		25	25	ac		100	100	swing2		30	30	mana		6	10	allskills		1	1	str		10	10	res-pois		30	50	ass		2	2	dmg%		20	20		0
Stormchaser	226	100	1			1		43	35	xrg	Scutum		3	5000	cblu	cblu		invxrgu				manasteal		5	5	att		50	50	ac-miss		10	40	dmg%		150	220	enr		40	50	aura	Conviction	12	12	res-all		10	10	ac%		31	40	res-cold	0	11	20	skilltab	2	2	2	dmg-max		4	5	oskill	71	5	5		0
Tiamat's Rebuke	227	100	1			1		46	38	xit	Dragon Shield		3	5000	lgry	lgry		invkitu				move3		7	7	dmg-norm		3	7	dmg%		300	300	regen-mana		15	15	skilltab	17	3	3	res-fire	0	21	30	mana/lvl	6			fire-min		11	25	fire-max		31	50	oskill	36	6	6	enr		10	10	hp		50	50		0
Kerke's Sanctuary	228	100	1			1		52	44	xow	Pavise		3	5000	lgrn	lgrn		invtowu				lifesteal		3	3	dur		30	30	ac%		130	170	att%		100	100	ama		2	2	gold%		-33	-33	oskill	Lightning Mastery	1	2	res-cold		40	40	mana		50	50	skilltab	5	3	3	dmg-pois	125	103	103	hp		11	20		0
Radimant's Sphere	229	100	1			1		58	50	xts	Ancient Shield		3	5000				invgtsu				lifesteal	0	3	3	dmg-pois	150	86	86	mana-kill		5	5	ac%		150	200	dmg-fire		15	35	skilltab	0	1	1	thorns		10	10	crush		33	33	oskill	115	2	2	block		20	20	state	fullsetgeneric	1	1						0
Lidless Wall	230	100	1			1		49	41	xsh	Grim Shield		3	5000	dgld	dgld		invxshu				mag%		10	10	red-mag		5	5	balance2		30	30	dmg-norm		12	30	att%		150	200	ac%		150	200	lifesteal		6	6	vit		10	10	skilltab	16	5	5	dmg%		25	25	ac		135	175	att		58	72		0
Lance Guard	231	100	1			1		43	35	xpk	Barbed Shield		3	5000				invxpku				att		50	50	move2		30	30	dmg%		180	220	dmg-pois	100	153	153	att/lvl	16			indestruct		1	1	oskill	Revive	30	5	str		10	10	res-all		25	25	ease		-30	-30	ac		300	300	ac%		41	50		0
Venom Grip	232	100	1			1		37	29	xlg	Demonhide Gloves		5	5000	dgrn							cold-len	0	100	100	str		4	5	mana		100	100	att		30	30	move2		65	65	res-cold	0	31	50	abs-ltng%		10	20	hp%		20	20	manasteal	0	3	3	fire-min		10	19	fire-max		20	29	dmg-max		21	40		0
Gravepalm	233	100	1			1		39	32	xvg	Sharkskin Gloves		5	5000								mana%		15	15	light	0	2	2	fire-min		10	10	fire-max		10	20	dmg-min		1	1	crush		25	25	dmg-to-mana		20	20	dmg-pois	200	384	384	manasteal		4	8	dex		15	15	res-ltng		20	40	allskills		1	2		0
Ghoulhide	234	100	1			1		44	36	xmg	Heavy Bracers		5	5000								str		12	12	dmg-ltng		1	28	ac%		30	40	lifesteal		8	8	manasteal		6	6	move2		15	15	gethit-skill	245	4	5	att%		50	50	mana		3	7	sor		1	1	dmg-max		2	2	red-dmg		1	1		0
Lavagout	235	100	1			1		50	42	xtg	Battle Guantlets		5	5000	lyel							oskill	118	3	3	light		4	4	dmg%		195	195	mana%		10	10	crush		10	10	extra-ltng		3	5	sor		3	3	skilltab	10	2	2	ac		350	350	res-fire	0	22	22	regen-mana	0	12	12	enr		11	15		0
Hellmouth	236	100	1			1		55	47	xhg	War Gauntlets		5	5000								balance2		10	10	move2		30	30	att%		20	20	skilltab	7	1	2	swing2		30	30	indestruct		1	1	dmg%		20	20	res-fire		30	30	hp		15	15	stam		15	25	res-cold		31	40	hp%		27	27		0
Infernostride	237	100	1			1		37	29	xlb	Demonhide Boots		5	5000								att%		20	20	ac%		80	120	dex		5	5	dmg		10	30	swing2		60	60	mana		13	13	res-all		8	8	ac/lvl	12			att		65	77	red-dmg		4	7	hp		1	5	oskill	244	6	6		0
Waterwalk	238	100	1			1		40	32	xvb	Sharkskin Boots		5	5000								att-undead		25	50	str		15	15	hit-skill	91	4	1	hp		150	150	deadly		15	15	skilltab	8	2	2	res-all		15	15	pois-min		8	8	pois-max		24	24	pois-len		75	75	lifesteal		5	9	dmg%		60	70		0
Silkweave	239	100	1			1		44	36	xmb	Mesh Boots		5	5000								res-cold		25	25	ac		25	25	oskill	150	4	4	mana		36	36	str		2	2	att/lvl	16			dmg-norm		20	20	reduce-ac		33	33	dmg%		150	200	dmg-to-mana		20	20	skilltab	17	1	1	att	0	41	60		0
Wartraveler	240	100	1			1		50	42	xtb	Battle Boots		5	5000								swing2		20	20	dmg-pois	75	40	40	hp%		5	5	oskill	34	3	3	dmg-mag		250	361	mana	0	21	30	move3		35	35	ac%		70	100	cold-min		1	1	cold-max		3	4	cold-len		75	75	pierce-pois		25	25		0
Gorerider	241	100	1			1		55	47	xhb	War Boots		5	5000	dred							res-fire		15	15	hp		15	15	str		5	5	dmg%		160	200	nofreeze		1	1	red-dmg%		30	30	swing2		30	30	ac%		25	25	res-cold		4	7	skilltab	15	2	2	dmg-max		2	2	res-all	0	25	25		0
String of Ears	242	100	1			1		37	29	zlb	Demonhide Sash		5	5000	lred							res-all		10	20	swing3		30	30	dmg-ltng		1	200	cast2		10	10	hit-skill	92	5	4	regen-mana		15	15	dmg%		200	270	pierce-fire		25	25	mana		25	25	gethit-skill	53	12	5	dex		10	15	oskill	53	3	3		0
Razortail	243	100	1			1		39	32	zvb	Sharkskin Belt		5	5000								lifesteal		3	3	att		150	200	dmg%		160	200	dmg-to-mana		30	30	oskill	26	3	5	red-mag		9	13	ac%		160	200	enr		15	15	swing3		30	30	mag%		3	7	regen		11	15	res-fire		25	25		0
Gloomstrap	244	100	1			1		45	36	zmb	Mesh Belt		5	5000								ac		25	25	gethit-skill	44	10	5	crush		5	5	slow		20	20	pierce-ltng		15	15	allskills		2	2	cast3		20	20	res-cold	0	22	22	ac%		51	65	att		6	12	skilltab	0	1	1	dex		2	3		0
Snowclash	245	100	1			1		49	42	ztb	Battle Belt		5	5000								dmg%	0	21	30	res-pois-len		75	75	fire-min		3	5	fire-max		6	11	crush		40	40	dmg-fire		250	500	res-ltng		8	9	oskill	34	2	2	dmg-pois	125	185	185	ac		20	20	red-dmg		15	20	att		125	125		0
Thudergod's Vigor	246	100	1			1		55	47	zhb	War Belt		5	5000								dmg-ltng		1	74	swing2		20	20	dmg-min		5	8	pierce-ltng		45	55	cold-min		1	1	cold-max		3	5	cold-len		50	50	oskill	IronGolem	11	22	lifesteal		3	6	dmg%		180	250	att-demon		101	150	att%		100	150		0
Elite Uniques																																																																							0
Harlequin Crest	248	100	1			1		69	62	uap	Shako		3	5000	cgrn	cgrn						enr		10	10	dex		25	25	sor		1	1	balance2		30	30	light		7	7	indestruct		1	1	hit-skill	Decrepify	33	1	dmg%		180	230	ac-miss		300	350	hp		11	20	gold%		11	22	oskill	Fire Wall	13	13		0
Veil of Steel	249	100	1			1		77	73	uhm	Spired Helm		3	5000	lgry	lgry						half-freeze		1	1	light		4	4	dmg/lvl	8			skilltab	11	2	2	ac%		150	190	openwounds		50	50	res-cold		40	40	extra-pois		25	25	att		101	120	dmg-demon		201	300	hp		6	10	move2		20	20		0
The Gladiator's Bane	250	100	1			1		85	85	utu	Wire Fleece		3	5000	lgry	lgry						res-pois		50	50	cast3		30	30	openwounds		40	40	mana-kill		7	12	skilltab	13	1	3	ignore-ac		1	1	noheal		1	1	dex		20	20	light		1	1	res-cold		21	25	red-mag		4	6	dmg-pois	125	52	52		0
Arkaine's Valor	251	100	1			1		85	85	upl	Balrog Skin		3	5000	lred	lred						str		20	30	res-fire		75	75	light		4	4	gold%		40	70	dmg-max		10	10	allskills		1	1	red-dmg		3	3	dex		20	20	freeze		2	2	res-cold		16	20	att-undead		326	450	ac		100	100		0
Blackoak Shield	252	100	1			1		67	61	uml	Luna		3	5000				invsmlu				skilltab	20	1	1	dmg%		80	120	swing2		30	30	res-fire		24	24	att%		180	250	lifesteal		5	6	cast3		20	20	cold-min		2	2	cold-max		3	4	cold-len		25	25	hit-skill	244	4	8	red-dmg		2	2		0
Stormshield	253	100	1			1		77	73	uit	Monarch		3	5000				invkitu				res-all		20	40	ac%		80	130	dmg%/lvl	20			addxp		5	5	sock		1	3	noheal		1	1	skilltab	12	2	2	ac		108	108	balance2		25	25	dmg-undead	0	44	44	swing2		20	20	res-pois		25	25		0
Hellslayer	254	100	1			1		71	66	7bt	Decapitator		5	5000	dred	dred		invbtxu				openwounds		30	30	ac		35	35	dex		10	10	dmg-norm		15	25	slow		10	10	move2		25	25	att	0	60	60	res-all		15	15	hp		50	50	mana		31	40	dmg-max		15	20	oskill	73	5	5		0
Messerschmidt's Reaver	255	100	1			1		75	70	7ga	Champion Axe		5	5000	blac	blac		invgaxu				ac		25	25	light		3	3	sock		1	2	dmg%		180	230	ac%		75	100	lifesteal		10	10	mana		25	50	dmg-fire		25	35	dmg-demon		26	50	skilltab	3	1	1	dmg-pois	125	308	308	enr		7	10		0
Baranar's Star	256	100	1			1		70	65	7mt	Devil Star		5	5000	lred	lred		invmstu				res-all		10	20	hit-skill	Poison Explosion	15	9	nofreeze		1	1	hp		20	20	ac/lvl	16			dmg%		75	75	dmg-fire		25	35	mag%		25	25	mana		16	20	dex		1	2	oskill	93	3	3	regen-mana		15	15		0
Schaefer's Hammer	257	100	1			1		83	79	7wh	Legendary Mallet		5	5000	lblu	lblu						dur		25	25	allskills		1	1	indestruct		1	1	att		200	250	sock	2			ac%		160	200	levelup-skill	Blaze	100	40	mana		89	112	dmg%		120	160	abs-cold/lvl		2	2	skilltab	11	2	2	thorns		1	5		0
The Cranium Basher	258	100	1			1		85	87	7gm	Thunder Maul		5	5000	blac	blac						ac-miss		100	100	dmg%		150	200	noheal		1	1	oskill	59	2	2	pierce-ltng		7	15	allskills		1	1	res-fire		20	20	dex	0	3	3	hp	0	38	38	dmg-cold	75	3	14	ignore-ac		1	1	manasteal	0	6	6		0
Lightsabre	259	100	1			1		66	58	7cr	Phase Blade		5	5000	lblu			invcrsu				cold-min		4	6	cold-max		8	11	cold-len		25	25	dex		10	10	swing2		20	20	ac-miss		100	100	dmg-min		10	10	openwounds		25	25	hp		20	20	skilltab	12	1	1	crush		50	50	oskill	Bone Armor	4	5		0
Doombringer	260	100	1			1		75	69	7b7	Champion Sword		5	5000	dred	dred		invbswu				res-fire		40	40	hp		10	10	att		200	250	res-ltng		75	75	skilltab	2	2	2	res-pois-len		50	50	light		2	2	mana		30	30	half-freeze		1	1	res-all	0	14	14	res-ltng-max		5	5	swing1		10	10		0
The Grandfather	261	100	1			1		85	81	7gd	Colossus Blade		5	5000	lyel	lyel		invgsdu				extra-ltng		3	5	res-all-max		15	15	ac		50	50	skilltab	4	3	3	cold-min		3	3	cold-max		5	6	cold-len		25	25	dmg%	0	31	40	mana	0	20	20	att%		100	100	bar		1	1	oskill	43	3	3		0
Wizardspike	262	100	1			1		69	61	7dg	Bone Knife		5	5000	lgry	lgry						ac%		60	100	res-fire		25	25	dmg-norm		15	27	red-dmg%		15	25	indestruct		1	1	ac		500	500	balance3		30	30	swing2		30	30	str		1	2	oskill	52	3	3	res-cold-max	0	10	10	regen		10	10		0
Constricting Ring	263	100	0			1		95	95	rin	Ring		5	5000	cblu	cblu						block		20	20	red-mag		9	13	dmg%		190	240	swing2		35	35	extra-cold		25	30	res-ltng		40	50	str		15	15	res-cold		40	40	mana		8	13	hp		16	20	move3		40	40	state	fullsetgeneric	1	1		0
Stormspire	264	100	1			1		78	70	7wc	Giant Thresher		5	5000	dblu	dblu						ac%		120	150	swing2		50	50	light		1	1	ac		170	210	res-cold		15	15	dex	0	4	4	balance1		7	7	hp		11	15	str		7	9	dmg-pois	100	39	39	lifesteal		10	10	res-all		50	50		0
Eaglehorn	265	100	1			1		77	69	6l7	Crusader Bow		5	5000	dgld	dgld						dmg-pois	250	256	256	hit-skill	38	10	0	swing2		50	50	gethit-skill	92	9	6	skilltab	16	2	2	move2		20	20	res-fire		24	24	dex	0	10	10	red-mag		4	6	dmg-min		6	9	oskill	16	6	6	res-all	0	10	10		0
Windforce	266	100	1			1		80	73	6lw	Hydra Bow		5	5000	dyel	dyel						ac		15	15	swing3		30	30	light-thorns		10	10	hit-skill	Twister	33	22	light		5	5	sor		2	2	res-pois	0	11	20	dmg%		31	40	att		39	51	att-demon		301	400	hp		1	5	allskills		1	1		0
Rings																																																																							0
Bul Katho's Wedding Band	268	100	1			1		66	58	rin	Ring		5	5000	dpur	dpur						sor		3	3	dex		35	35	hp		80	80	regen		8	8	nofreeze		1	1	oskill	240	127	13	res-all		15	15	balance3		24	24	mana		5	10	ease		-40	-40	swing3		40	40	manasteal	0	10	10		0
The Cat's Eye	269	100	1			1		58	50	amu	Amulet		5	5000	oran	oran						bar		2	2	res-pois-len		75	75	swing2		20	20	crush		25	25	nofreeze		1	1	att		6	12	res-fire		24	24	dru		3	3	mana		25	25	dmg-dem/lvl	12												0
The Rising Sun	270	100	1			1		73	65	amu	Amulet		5	5000	lgld	lgld						swing3		30	30	dex		15	15	reduce-ac		33	33	res-cold-max		5	5	cast2		20	20	dmg%		240	300	str		20	20	mana		25	25	att-demon		301	400	ass		2	2	dmg-max		5	7	dmg-pois	100	39	39		0
Crescent Moon	271	100	1			1		58	50	amu	Amulet		5	5000	lblu	lblu						stamdrain		25	25	mana		15	15	dmg%		200	250	hp		25	25	res-fire		5	5	gethit-skill	Dim Vision	15	3	ease		-40	-40	mag%		5	7	skilltab	19	1	1	res-pois-len		75	75	nofreeze	0	1	1	red-mag	0	3	3		0
Mara's Kaleidoscope	272	100	1			1		80	67	amu	Amulet		5	5000	oran	oran						ac		25	25	hp		15	15	slow		50	50	dmg-max		20	30	dmg%		120	150	dmg-fire		24	48	dmg-undead		150	230	swing1		10	10	ease		-20	-20	mana		41	60	red-dmg		8	15	lifesteal		15	15		0
Atma's Scarab	273	100	1			1		60	60	amu	Amulet		5	5000	cgrn	cgrn						nec		2	2	red-mag		10	15	slow		20	20	abs-cold%		7	15	dmg-demon		200	250	hit-skill	Charged Bolt	11	9	dmg-to-mana		38	38	dmg%		200	240	regen	0	4	4	res-cold	0	11	20	dmg-max		1	3	oskill	11	5	5		0
Dwarf Star	274	100	1			1		53	45	rin	Ring		5	5000	dgry	dgry						dmg%		180	180	oskill	63	1	1	gethit-skill	44	5	9	ac%		160	200	dex		5	5	pierce-fire		7	15	dmg-pois	50	187	187	thorns		8	8	lifesteal	0	2	2	att	0	21	40	res-ltng		21	25	move3		7	7		0
Raven Frost	275	100	1			1		53	45	rin	Ring		5	5000	cblu	cblu						swing3		30	30	red-dmg		7	7	ac%		75	85	hp		30	30	light-thorns		10	10	dmg%		230	280	lifesteal		7	10	res-cold		-90	-70	pierce-immunity-light		300	300	red-mag		4	4	res-pois		16	20	dmg-max		15	20		0
Highlord's Wrath	276	100	1			1		73	65	amu	Amulet		5	5000	bwht	bwht						fire-min		1	2	fire-max		3	3	res-ltng	0	25	25	ac		40	40	hit-skill	Firestorm	40	22	noheal		1	1	res-cold	0	28	28	dmg-demon		25	50	dmg-fire/lvl	24			dmg-pois	100	460	460	red-mag	0	2	2	dmg%		150	190		0
Saracen's Chance	277	100	1			1		55	47	amu	Amulet		5	5000	dpur	dpur						mana	0	38	38	demon-heal		15	15	ac		20	30	ltng-min		1	6	ltng-max		41	120	bar		2	2	dex		15	15	dmg-norm		3	7	crush		75	75	dmg-demon		150	200	allskills		1	2	lifesteal		4	5		0
Class Specific																																																																							0
Arreat's Face	279	100	1			1		50	42	baa	Slayer Guard		5	5000								dex		6	6	att		101	120	ltng-min		1	1	ltng-max		44	71	res-pois		11	12	hit-skill	Mark of the Wolf	100	1	hp		25	25	skilltab	10	2	2	res-all		15	15	nofreeze		1	1	ease		-50	-50	ac		75	100		0
Homunculus	280	100	1			1		50	42	nea	Heirophant Trophy		5	5000								res-cold		25	25	enr		15	15	skill	132	2	2	balance2		30	30	hit-skill	66	4	1	extra-cold		15	30	dmg-mag		85	120	dmg-fire		12	17	dmg%	0	21	30	skilltab	3	3	3	dmg-pois	75	18	18	mag%		100	100		0
Titan's Revenge	281	100	1			1		50	42	ama	Ceremonial Javelin		5	5000								dmg-max		20	20	mag%		10	10	res-pois		50	50	hp		50	50	light-thorns		25	25	dmg-fire		15	72	allskills		2	2	lifesteal		8	8	res-all		12	15	skilltab	6	1	1	att		75	75	regen-mana		15	15		0
Lycander's Aim	282	100	1			1		50	42	am7	Ceremonial Bow		5	5000								allskills		1	1	att-undead		100	100	cast3		30	30	gethit-skill	121	5	7	block		25	25	sock		1	2	balance3		55	55	att		60	60	ac		80	100	dmg%		81	100	dmg-fire/lvl	24			str		20	20		0
Lycander's Flank	283	100	1			1		50	42	am9	Ceremonial Pike		5	5000								dmg%		30	50	ac		10	20	att		150	250	res-fire		15	15	block		30	30	enr		20	20	res-cold-max		5	5	swing1		30	30	res-cold		40	40	res-all	0	6	6	hp		16	20	oskill	71	5	5		0
The Oculus	284	100	1			1		50	42	oba	Swirling Crystal		5	5000								lifesteal		5	5	regen-stam		15	15	ac%		120	160	light		2	2	regen-mana		17	17	skilltab	13	2	2	sock		2	2	ease		-40	-40	res-ltng		50	50	oskill	47	7	7	dmg-pois	125	52	52	att	0	60	60		0
Herald of Zakarum	285	100	1			1		50	42	pa9	Aerin Shield		5	5000								str		15	15	dmg-undead		50	50	att/lvl	12			reduce-ac		50	50	red-mag		5	9	dmg%		240	290	gethit-skill	Blaze	5	15	res-cold		40	40	ac		75	125	dmg-max		2	2	dex		1	2	res-ltng		25	25		0
Cutthroat1	286	100	1			1		50	42	9tw	Runic Talons		5	5000								dru		2	2	move2		20	20	block		20	20	fire-min		23	23	fire-max		54	54	ac%		180	220	pierce-cold		20	35	mag%		25	25	dex		10	10	red-mag	0	2	2	dmg-undead		100	200	cheap		10	15		0
Jalal's Mane	287	100	1			1		50	42	dra	Dream Spirit		5	5000								dmg%		75	150	oskill	69	3	3	hit-skill	48	5	8	balance2		20	20	crush		33	33	skilltab	12	2	2	res-cold	0	40	40	red-dmg%		8	8	dmg-pois	125	205	205	dmg-max		21	40	move3		30	30	manasteal	0	5	5		0
